Lines of Code,Number Of Members,TCC,WMC,ATFD,Large Class
30,5,0,2,0,False
5,1,0,1,0,False
764,55,0,10,0,True
7,5,0,0,0,False
21,6,0,1,0,False
14,2,0,1,0,False
190,32,0,1,0,False
15,3,0,2,0,False
119,19,0,1,0,False
19,4,0,1,0,False
722,48,0,3,0,True
67,14,0,1,0,False
16,3,0,1,0,False
29,1,0,0,0,False
25,6,0,1,0,False
23,5,0,1,0,False
75,10,0,1,0,False
243,18,0,4,0,True
16,3,0,1,0,False
18,1,0,5,0,False
416,30,0,1,0,False
5,1,0,0,0,False
5,1,0,0,0,False
195,20,0,1,0,False
19,4,0,1,0,False
46,11,0,2,0,False
76,19,0,1,0,False
343,17,0,1,0,True
46,13,0,1,0,False
37,8,0,1,0,False
16,4,0,1,0,False
182,20,0,1,0,False
25,6,0,1,0,False
218,18,0,2,0,False
28,1,0,0,0,False
18,7,0,1,0,False
322,36,0,1,0,True
10,3,0,0,0,False
18,2,0,4,0,False
12,3,0,1,0,False
51,10,0.07,1,0,False
35,7,0,1,0,False
115,7,0,1,0,False
21,1,0,0,0,False
18,4,0,1,0,False
38,7,0,1,0,False
13,3,0,1,0,False
62,10,0,1,0,False
41,12,0,2,0,False
127,9,0,1,0,False
121,2,0,0,0,False
16,4,0,1,0,False
23,6,0,1,0,False
28,8,0,1,0,False
25,6,0,1,0,False
21,5,0,1,0,False
321,36,0,13,0,True
4,1,0,1,0,False
13,3,0,1,0,False
99,33,0,1,0,False
297,19,0,1,0,True
12,3,0,1,0,False
16,4,0,0,0,False
48,12,0,1,0,False
26,7,0,1,0,False
62,11,0,5,0,False
13,3,0,1,0,False
1209,39,0,1,0,True
42,10,0,1,0,False
81,10,0,1,0,False
1149,19,0,2,0,True
21,4,0,1,0,False
7,1,0,0,0,False
5,1,0,0,0,False
14,3,0,1,0,False
8,1,0,0,0,False
613,15,0,1,0,True
30,1,0,0,0,False
145,11,0,1,0,False
10,2,0,1,0,False
157,18,0,3,0,False
5,1,0,0,0,False
289,1,0,0,0,True
23,6,0,2,0,False
295,6,0,0,0,False
202,40,0,1,0,False
637,92,0,10,0,True
608,25,0,1,0,True
19,4,0,3,0,False
13,3,0,1,0,False
9,1,0,1,0,False
42,2,0,0,0,False
31,6,0,2,0,False
8,2,0,0,0,False
11,3,0,0,0,False
49,13,0.07,2,0,False
288,1,0,0,0,True
150,1,0,0,0,False
243,9,0,1,0,False
11,2,0,1,0,False
20,5,0,1,0,False
12,3,0,1,0,False
136,1,0,0,0,False
