Name,LOC,CYCLO,Number Of Parameters,# Inner Invocations,# Outer Invocations,ATFD,FDP,LAA,MAXNESTING,NOAV,Feature_Envy,Feature_EnvyScore,Long_Method,Long_MethodScore
compare,3,1,2,0,3,2,1,0,1,3,False,0,False,0
commit,8,2,0,1,6,5,3,0.2,2,4,False,0,False,0
setValue,4,1,1,2,0,0,0,1,1,2,False,0,False,0
actionPerformed,3,1,1,0,1,0,0,0,1,2,False,0,False,0
actionPerformed,5,2,1,0,2,2,1,1.5,2,3,False,0,False,0
actionPerformed,5,2,1,0,2,2,1,1.5,2,3,False,0,False,0
changeValue,7,2,1,0,4,3,1,1,3,5,False,0,False,0
getComponent,8,1,0,0,6,0,0,0,1,3,False,0,False,0
getNoButton,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getYesButton,3,1,0,0,0,0,0,0,1,1,False,0,False,0
connectStringArray,13,5,1,0,0,0,0,0,2,3,False,0,False,0
displayURL,30,15,1,9,2,0,0,0,2,16,False,0,False,0
displayUrlWithDesktopApi,21,11,1,0,6,2,0,5,2,4,False,0,False,0
displayUrlWithJnlpApi,20,7,1,0,7,2,0,5,3,7,False,0,False,0
getPlatform,13,10,0,0,3,0,0,0,2,4,False,0,False,0
replaceToken,10,4,3,0,1,0,0,0,1,5,False,0,False,0
runCmdLine,3,1,1,0,1,0,0,0,1,1,False,0,False,0
runCmdLine,42,10,2,2,17,2,0,5,3,7,False,0,True,0
getDocumentManager,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getHumanResourceManager,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getResourceVisibleFields,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getTaskCustomColumnManager,3,1,0,0,1,1,0,8,1,2,False,0,False,0
getTaskManager,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getVisibleFields,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getVisibleFields,3,1,0,0,0,0,0,0,1,1,False,0,False,0
newParser,3,1,0,1,2,1,1,4,1,4,False,0,False,0
newSaver,3,1,0,0,0,0,0,0,1,0,False,0,False,0
add,6,1,0,2,1,0,0,0,1,2,False,0,False,0
withAutoRepeat,4,1,1,0,1,1,1,2,1,3,False,0,False,0
actionPerformed,8,2,1,3,4,1,1,1.5,2,6,False,0,False,0
getIconFilePrefix,3,3,0,0,1,0,0,0,1,2,False,0,False,0
getID,4,3,0,0,1,0,0,0,1,0,False,0,False,0
isOn,3,3,0,0,1,1,1,6,1,3,False,0,False,0
setOn,3,1,1,0,1,1,1,6,1,3,False,0,False,0
getDate,3,1,0,0,0,0,0,0,1,1,False,0,False,0
apply,3,1,1,0,0,0,0,0,1,1,False,0,False,0
apply,3,1,1,0,0,0,0,0,1,1,False,0,False,0
createComponent,9,1,0,0,0,0,0,0,1,2,False,0,False,0
createDateValidatorComponents,20,4,1,0,0,0,0,0,5,4,False,0,False,0
createNonRecurringComponent,15,2,0,0,0,0,0,0,1,8,False,0,False,0
createRecurringComponent,14,2,0,0,0,0,0,0,1,9,False,0,False,0
getI18NedEventType,4,1,1,0,0,0,0,0,1,1,False,0,False,0
parse,11,2,1,0,0,0,0,0,3,2,False,0,False,0
recurring,8,1,1,0,0,0,0,0,3,1,False,0,False,0
reload,4,1,1,0,0,0,0,0,1,5,False,0,False,0
reload,7,1,3,0,0,0,0,0,1,4,False,0,False,0
run,2,1,0,0,0,0,0,0,1,0,False,0,False,0
run,3,1,0,0,0,0,0,0,1,0,False,0,False,0
actionPerformed,11,1,1,0,0,0,0,0,3,5,False,0,False,0
actionPerformed,10,1,1,0,0,0,0,0,3,5,False,0,False,0
actionPerformed,12,1,1,0,0,0,0,0,3,5,False,0,False,0
actionPerformed,10,1,1,0,0,0,0,0,3,5,False,0,False,0
addException,16,1,3,1,12,4,1,0.6,5,10,False,0,False,0
addHoliday,17,1,3,1,12,3,1,0.75,5,9,False,0,False,0
getLocalizedDescription,5,2,0,1,4,1,1,1.5,1,5,False,0,False,0
getLocalizedName,5,2,0,1,4,1,1,1.5,1,5,False,0,False,0
removeException,15,1,3,1,10,2,0,1,5,8,False,0,False,0
removeHoliday,15,1,3,1,10,2,0,1,5,8,False,0,False,0
run,3,1,0,0,0,0,0,0,1,1,False,0,False,0
run,3,1,0,0,0,0,0,0,1,1,False,0,False,0
run,3,1,0,0,0,0,0,0,1,1,False,0,False,0
run,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getLocale,3,1,0,1,1,1,1,0,1,2,False,0,False,0
getShortDateFormat,3,1,0,1,1,1,1,0,1,2,False,0,False,0
setLocaleImpl,3,1,0,0,2,1,0,0,1,1,False,0,False,0
objectToString,3,1,1,0,1,1,1,1,1,2,False,0,False,0
getShortDayName,4,1,1,0,4,1,0,2,1,5,False,0,False,0
save,46,8,2,1,47,18,5,0.11,3,19,False,0,False,0
onEndElement,3,1,0,0,1,0,0,0,1,1,False,0,False,0
onStartElement,6,1,1,0,6,6,2,0.5,1,8,False,0,False,0
actionPerformed,3,1,1,0,0,0,0,0,1,1,False,0,False,0
doFinish,13,3,1,1,6,1,1,5,3,6,False,0,False,0
finish,9,1,1,1,5,2,2,2.5,3,4,False,0,False,0
getNotesText,1,1,0,0,0,0,0,0,0,0,False,0,False,0
getTask,3,1,0,0,0,0,0,0,1,1,False,0,False,0
paint,5,2,1,1,0,0,0,0,2,3,False,0,False,0
run,3,1,0,0,0,0,0,0,1,0,False,0,False,0
updateTooltip,7,2,1,1,6,5,1,0.83,2,9,False,0,False,0
apply,6,1,1,0,2,1,1,3,1,6,False,0,False,0
finish,3,1,0,1,0,0,0,0,1,1,False,0,False,0
getNotesText,3,1,0,0,3,1,1,3,1,1,False,0,False,0
apply,11,3,1,0,4,3,1,2.67,2,8,False,0,False,0
doFinish,4,1,1,0,1,0,0,0,1,2,False,0,False,0
finish,10,1,0,1,5,2,2,4,3,6,False,0,False,0
getTask,3,1,0,1,0,0,0,8,1,2,False,0,False,0
paint,5,2,1,1,0,0,0,0,2,3,False,0,False,0
run,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getProgress,21,11,1,0,5,1,1,5,2,12,False,0,False,0
apply,8,3,1,0,11,6,4,0.33,2,8,False,0,False,0
finish,4,1,0,1,2,1,1,2,1,2,False,0,False,0
getNotesText,3,1,0,0,3,1,1,2,1,1,False,0,False,0
getCharSet,24,6,1,1,9,4,1,3.75,3,11,False,0,False,0
getCharSet,35,9,2,2,15,5,1,3,5,11,False,0,False,0
getCharSet,4,3,1,0,1,0,0,0,1,3,False,0,False,0
getCharSet,4,3,2,0,1,0,0,0,1,3,False,0,False,0
loadFile,3,1,1,0,2,0,0,0,1,1,False,0,False,0
loadPath,3,1,1,0,2,0,0,0,1,1,False,0,False,0
loadResource,12,5,1,0,1,0,0,0,4,2,False,0,False,0
loadStream,5,1,1,0,2,0,0,0,1,2,False,0,False,0
searchCharSet,12,4,1,1,2,1,1,15,3,5,False,0,False,0
searchCharSet,21,10,3,1,9,0,0,0,4,6,False,0,False,0
searchCharSet,24,8,1,0,4,0,0,0,6,12,False,0,False,0
setCharSet,7,3,2,0,3,0,0,0,1,9,False,0,False,0
setCommonCharSet,6,1,2,0,2,0,0,0,1,9,False,0,False,0
addRenderer,3,1,1,2,0,0,0,9,1,2,False,0,False,0
addSelectionListener,3,1,1,2,0,0,0,9,1,2,False,0,False,0
buildImage,3,1,2,2,0,0,0,9,1,3,False,0,False,0
canPaste,3,1,1,1,1,0,0,0,1,1,False,0,False,0
createCopy,3,1,0,3,1,0,0,4.5,1,3,False,0,False,0
getAdapter,6,3,1,0,1,1,0,9,2,2,False,0,False,0
getChartModel,1,1,0,0,0,0,0,0,0,0,False,0,False,0
getEndDate,3,1,0,1,1,0,0,9,1,1,False,0,False,0
getImplementation,1,1,0,0,0,0,0,0,0,0,False,0,False,0
getJComponent,3,1,0,1,1,0,0,9,1,1,False,0,False,0
getModel,3,1,0,0,1,0,0,0,1,0,False,0,False,0
getMouseListener,1,1,0,0,0,0,0,0,0,0,False,0,False,0
getMouseMotionListener,1,1,0,0,0,0,0,0,0,0,False,0,False,0
getOptionGroups,3,1,0,0,2,1,0,9,1,1,False,0,False,0
getOptionsDialogAction,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getPopupMenuActions,3,1,1,0,0,0,0,0,1,1,False,0,False,0
getProject,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getRenderedImage,3,1,1,1,1,0,0,9,1,2,False,0,False,0
getSelection,3,1,0,1,1,0,0,9,1,1,False,0,False,0
getStartDate,3,1,0,1,1,0,0,9,1,1,False,0,False,0
getStyle,3,1,0,0,2,1,0,9,1,1,False,0,False,0
getTaskManager,3,1,0,1,0,0,0,9,1,2,False,0,False,0
getTimeUnitStack,3,1,0,1,0,0,0,9,1,2,False,0,False,0
getTreeTable,1,1,0,0,0,0,0,0,0,0,False,0,False,0
getUIConfiguration,3,1,0,1,0,0,0,9,1,2,False,0,False,0
getUIFacade,3,1,0,0,0,0,0,0,1,1,False,0,False,0
getViewState,1,1,0,0,0,0,0,0,0,0,False,0,False,0
getZoomListener,3,1,0,0,1,0,0,0,1,0,False,0,False,0
getZoomManager,3,1,0,0,0,0,0,0,1,1,False,0,False,0
