Name,LOC,Number Of Members,TCC,WMC,ATFD,Large_Class
JUnitCommandLineParseResult,bin_0_151_125,,bin_0_0_05,bin_4_5_6_75,bin_0_10_875,False
JUnitCore,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
JUnitMatchers,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Listener,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
MaxCore,bin_0_151_125,,bin_0_0_05,bin_4_5_6_75,bin_0_10_875,False
MaxHistory,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
MemberMustBeNonStaticOrAlsoClassRule,bin_0_151_125,,bin_0_0_05,bin_6_75_9,bin_0_10_875,False
MemberMustBePublic,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
MemberMustBeStatic,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
MethodComparator,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
MethodMustBeARule,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
MethodMustBeATestRule,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
MethodParameterValue,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
MethodRoadie,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_10_875_21_75,False
MethodSorter,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
MethodValidator,bin_0_151_125,,bin_0_0_05,bin_9_11_25,bin_10_875_21_75,False
MethodValidator,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
MultipleFailureException,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
MultipleFailureException,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
NoGenericTypeParametersValidator,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
None,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
NoTestsRemainException,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
NullBuilder,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
OldTestClassAdaptingListener,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
ParallelComputer,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
Parameterized,bin_151_125_302_25,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
ParameterizedAssertionError,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
ParameterSignature,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_10_875_21_75,False
ParameterSupplier,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
ParentRunner,bin_302_25_453_375,,bin_0_0_05,bin_0_2_25,bin_0_10_875,True
PotentialAssignment,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
PrintableResult,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
PublicClassValidator,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
RealSystem,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
ReflectiveCallable,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
RememberingListener,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
RepeatedTest,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Request,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Result,bin_151_125_302_25,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
ResultMatchers,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
ResultPrinter,bin_0_151_125,,bin_0_25_0_3,bin_0_2_25,bin_0_10_875,False
RuleChain,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
RuleMemberValidator,bin_151_125_302_25,,bin_0_0_05,bin_0_2_25,bin_0_10_875,True
RunAfters,bin_0_151_125,,bin_0_0_05,bin_6_75_9,bin_0_10_875,False
RunBefores,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
RunListener,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Runner,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
RunnerBuilder,bin_0_151_125,,bin_0_0_05,bin_4_5_6_75,bin_0_10_875,False
RunNotifier,bin_151_125_302_25,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
RunRules,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
SafeNotifier,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
SerializedForm,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Sorter,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
SortingRequest,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
SpecificDataPointsSupplier,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
StacktracePrintingMatcher,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Statement,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
StoppedByUserException,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Stopwatch,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
Suite,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
SuiteMethod,bin_0_151_125,,bin_0_0_05,bin_4_5_6_75,bin_0_10_875,False
SuiteMethodBuilder,bin_0_151_125,,bin_0_0_05,bin_4_5_6_75,bin_0_10_875,False
SynchronizedRunListener,bin_0_151_125,,bin_0_0_05,bin_0_2_25,bin_0_10_875,False
TemporaryFolder,bin_0_151_125,,bin_0_0_05,bin_2_25_4_5,bin_0_10_875,False
