Name,LOC,CYCLO,Number Of Parameters,# Inner Invocations,# Outer Invocations,ATFD,FDP,LAA,MAXNESTING,NOAV,Feature_Envy,Feature_EnvyScore,Long_Method,Long_MethodScore
assertThat,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
assertTrue,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
assertTrue,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
doubleIsDifferent,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
equalsRegardingNull,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
fail,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
fail,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
failEquals,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
failNotEquals,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
failNotNull,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
failNotSame,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
failSame,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
floatIsDifferent,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
format,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_1_375_2_75,bin_0_7_875,False,,False,
formatClassAndValue,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
internalArrayEquals,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
isEquals,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
defaultString,bin_0_25,bin_0_11_25,,,,bin_0_8_25,bin_0_1_875,bin_0_6_125,bin_0_1_375,bin_0_7_875,False,,False,
